Wall time,Step,Value
1597935231.330489,554400,1274.5999755859375
1597938291.585138,1108800,1442.4000244140625
1597941432.914272,1663200,1642.0
1597944517.081695,2217600,2195.300048828125
1597947803.196549,2772000,2857.0
1597950962.712919,3326400,3172.89990234375
1597954328.18349,3880800,3224.39990234375
1597957533.832653,4435200,3369.800048828125
1597960887.65707,4989600,3477.60009765625
1597964107.429649,5544000,3575.60009765625
1597967464.477506,6098400,3671.89990234375
1597970662.614961,6652800,3755.800048828125
1597974056.492478,7207200,3755.5
1597977231.707081,7761600,3883.300048828125
1597980586.294459,8316000,3864.800048828125
1597983730.486414,8870400,3669.10009765625
1597987019.521757,9424800,3769.89990234375
1597990159.250746,9979200,3739.300048828125
